grp;grp2;aphgrp;perfgrp;subj;contr;contrnum;sent;item;acc;rt;cleanRT;senttype;corr;N;PerCorr;chance
EC;EC;EC;EC;24001;SOREFSO;3;SO;5;1;6194;6194;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;6;1;1202;1202;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;7;1;1490;1490;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;8;1;1722;1722;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;9;1;5231;5231;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;10;1;174;174;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;11;1;3422;3422;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;12;1;107;107;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;13;1;1240;1240;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;14;1;5255;5255;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;15;1;973;973;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;16;1;189;189;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;17;1;1694;1694;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;18;1;1326;1326;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;19;1;1253;1253;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SO;20;1;4082;4082;base;20;20;100;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;1;1;2029;2029;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;2;1;864;864;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;3;1;4821;4821;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;4;1;2046;2046;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;5;1;8704;.;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;6;1;329;329;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;7;1;4796;4796;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;8;1;956;956;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;9;1;2578;2578;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;10;1;668;668;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;11;1;4695;4695;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;12;1;504;504;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;13;0;447;447;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;14;1;804;804;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;15;1;984;984;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;16;1;336;336;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;17;1;3676;3676;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;18;1;1140;1140;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;19;1;5806;5806;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSO;3;SOREF;20;1;1279;1279;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;1;1;2029;2029;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;2;1;864;864;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;3;1;4821;4821;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;4;1;2046;2046;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;5;1;8704;.;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;6;1;329;329;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;7;1;4796;4796;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;8;1;956;956;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;9;1;2578;2578;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;10;1;668;668;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;11;1;4695;4695;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;12;1;504;504;expt;19;20;95;above
EC;EC;EC;EC;24001;SOREFSSREF;1;SOREF;13;0;447;447;expt;19;20;95;above
