,simset,condition,GA,DAT,ANS,sentCount,corrCountEmbV,corrCountRefl,acc_embV,acc_refl
136,69,SR-REFL,0.25,0.1,0.35,2000.0,605.0,525.0,0.605,0.525
137,69,OR-REFL,0.25,0.1,0.35,2000.0,694.0,512.0,0.694,0.512
138,70,SR-REFL,0.5,0.1,0.35,2000.0,616.0,547.0,0.616,0.547
139,70,OR-REFL,0.5,0.1,0.35,2000.0,714.0,546.0,0.714,0.546
140,71,SR-REFL,0.75,0.1,0.35,2000.0,639.0,566.0,0.639,0.566
141,71,OR-REFL,0.75,0.1,0.35,2000.0,729.0,552.0,0.729,0.552
142,72,SR-REFL,1.0,0.1,0.35,2000.0,645.0,574.0,0.645,0.574
143,72,OR-REFL,1.0,0.1,0.35,2000.0,728.0,576.0,0.728,0.576
144,73,SR-REFL,0.25,0.05,0.45,2000.0,511.0,384.0,0.511,0.384
145,73,OR-REFL,0.25,0.05,0.45,2000.0,596.0,328.0,0.596,0.328
146,74,SR-REFL,0.5,0.05,0.45,2000.0,525.0,407.0,0.525,0.407
147,74,OR-REFL,0.5,0.05,0.45,2000.0,639.0,345.0,0.639,0.345
148,75,SR-REFL,0.75,0.05,0.45,2000.0,560.0,454.0,0.56,0.454
149,75,OR-REFL,0.75,0.05,0.45,2000.0,653.0,399.0,0.653,0.399
150,76,SR-REFL,1.0,0.05,0.45,2000.0,544.0,449.0,0.544,0.449
151,76,OR-REFL,1.0,0.05,0.45,2000.0,674.0,439.0,0.674,0.439
152,77,SR-REFL,0.25,0.06,0.45,2000.0,502.0,389.0,0.502,0.389
153,77,OR-REFL,0.25,0.06,0.45,2000.0,625.0,337.0,0.625,0.337
154,78,SR-REFL,0.5,0.06,0.45,2000.0,534.0,405.0,0.534,0.405
155,78,OR-REFL,0.5,0.06,0.45,2000.0,612.0,342.0,0.612,0.342
156,79,SR-REFL,0.75,0.06,0.45,2000.0,529.0,399.0,0.529,0.399
157,79,OR-REFL,0.75,0.06,0.45,2000.0,651.0,378.0,0.651,0.378
158,80,SR-REFL,1.0,0.06,0.45,2000.0,546.0,435.0,0.546,0.435
159,80,OR-REFL,1.0,0.06,0.45,2000.0,645.0,388.0,0.645,0.388
160,81,SR-REFL,0.25,0.07,0.45,2000.0,500.0,368.0,0.5,0.368
161,81,OR-REFL,0.25,0.07,0.45,2000.0,605.0,338.0,0.605,0.338
162,82,SR-REFL,0.5,0.07,0.45,2000.0,488.0,374.0,0.488,0.374
163,82,OR-REFL,0.5,0.07,0.45,2000.0,641.0,369.0,0.641,0.369
164,83,SR-REFL,0.75,0.07,0.45,2000.0,516.0,416.0,0.516,0.416
165,83,OR-REFL,0.75,0.07,0.45,2000.0,630.0,364.0,0.63,0.364
166,84,SR-REFL,1.0,0.07,0.45,2000.0,494.0,394.0,0.494,0.394
167,84,OR-REFL,1.0,0.07,0.45,2000.0,652.0,393.0,0.652,0.393
168,85,SR-REFL,0.25,0.08,0.45,2000.0,446.0,328.0,0.446,0.328
169,85,OR-REFL,0.25,0.08,0.45,2000.0,607.0,330.0,0.607,0.33
170,86,SR-REFL,0.5,0.08,0.45,2000.0,482.0,369.0,0.482,0.369
171,86,OR-REFL,0.5,0.08,0.45,2000.0,622.0,365.0,0.622,0.365
172,87,SR-REFL,0.75,0.08,0.45,2000.0,502.0,375.0,0.502,0.375
173,87,OR-REFL,0.75,0.08,0.45,2000.0,636.0,365.0,0.636,0.365
174,88,SR-REFL,1.0,0.08,0.45,2000.0,518.0,395.0,0.518,0.395
175,88,OR-REFL,1.0,0.08,0.45,2000.0,652.0,365.0,0.652,0.365
176,89,SR-REFL,0.25,0.09,0.45,2000.0,441.0,333.0,0.441,0.333
177,89,OR-REFL,0.25,0.09,0.45,2000.0,609.0,335.0,0.609,0.335
178,90,SR-REFL,0.5,0.09,0.45,2000.0,501.0,377.0,0.501,0.377
179,90,OR-REFL,0.5,0.09,0.45,2000.0,591.0,348.0,0.591,0.348
180,91,SR-REFL,0.75,0.09,0.45,2000.0,479.0,364.0,0.479,0.364
181,91,OR-REFL,0.75,0.09,0.45,2000.0,586.0,323.0,0.586,0.323
182,92,SR-REFL,1.0,0.09,0.45,2000.0,533.0,406.0,0.533,0.406
183,92,OR-REFL,1.0,0.09,0.45,2000.0,618.0,352.0,0.618,0.352
184,93,SR-REFL,0.25,0.1,0.45,2000.0,461.0,336.0,0.461,0.336
185,93,OR-REFL,0.25,0.1,0.45,2000.0,584.0,310.0,0.584,0.31
186,94,SR-REFL,0.5,0.1,0.45,2000.0,473.0,353.0,0.473,0.353
187,94,OR-REFL,0.5,0.1,0.45,2000.0,602.0,309.0,0.602,0.309
188,95,SR-REFL,0.75,0.1,0.45,2000.0,460.0,366.0,0.46,0.366
189,95,OR-REFL,0.75,0.1,0.45,2000.0,624.0,343.0,0.624,0.343
190,96,SR-REFL,1.0,0.1,0.45,2000.0,462.0,351.0,0.462,0.351
191,96,OR-REFL,1.0,0.1,0.45,2000.0,608.0,355.0,0.608,0.355
