"grp" "aphgrp" "subj" "contr" "sent" "item" "seg" "acc" "rt" "senttype"
"1827" "EC" "EC" 24001 "SOSS" "SS" 5 "f" 1 NA "base"
"1828" "EC" "EC" 24001 "SOSS" "SS" 6 "b" 1 1431 "base"
"1829" "EC" "EC" 24001 "SOSS" "SS" 6 "c" 1 515 "base"
"1830" "EC" "EC" 24001 "SOSS" "SS" 6 "d" 1 474 "base"
"1831" "EC" "EC" 24001 "SOSS" "SS" 6 "e" 1 299 "base"
"1832" "EC" "EC" 24001 "SOSS" "SS" 6 "f" 1 NA "base"
"1833" "EC" "EC" 24001 "SOSS" "SS" 7 "a" 1 264 "base"
"1834" "EC" "EC" 24001 "SOSS" "SS" 7 "b" 1 565 "base"
"1835" "EC" "EC" 24001 "SOSS" "SS" 7 "c" 1 598 "base"
"1836" "EC" "EC" 24001 "SOSS" "SS" 7 "d" 1 650 "base"
"1837" "EC" "EC" 24001 "SOSS" "SS" 7 "e" 1 518 "base"
"1838" "EC" "EC" 24001 "SOSS" "SS" 7 "f" 1 NA "base"
"1839" "EC" "EC" 24001 "SOSS" "SS" 8 "a" 1 108 "base"
"1840" "EC" "EC" 24001 "SOSS" "SS" 8 "b" 1 383 "base"
"1841" "EC" "EC" 24001 "SOSS" "SS" 8 "c" 1 211 "base"
"1842" "EC" "EC" 24001 "SOSS" "SS" 8 "d" 1 305 "base"
"1843" "EC" "EC" 24001 "SOSS" "SS" 8 "e" 1 366 "base"
"1844" "EC" "EC" 24001 "SOSS" "SS" 8 "f" 1 NA "base"
"1845" "EC" "EC" 24001 "SOSS" "SS" 9 "a" 1 123 "base"
"1846" "EC" "EC" 24001 "SOSS" "SS" 9 "b" 1 455 "base"
"1847" "EC" "EC" 24001 "SOSS" "SS" 9 "c" 1 458 "base"
"1848" "EC" "EC" 24001 "SOSS" "SS" 9 "d" 1 631 "base"
"1849" "EC" "EC" 24001 "SOSS" "SS" 9 "e" 1 673 "base"
"1850" "EC" "EC" 24001 "SOSS" "SS" 9 "f" 1 NA "base"
"1851" "EC" "EC" 24001 "SOSS" "SS" 10 "a" 1 24 "base"
"1852" "EC" "EC" 24001 "SOSS" "SS" 10 "b" 1 293 "base"
"1853" "EC" "EC" 24001 "SOSS" "SS" 10 "c" 1 227 "base"
"1854" "EC" "EC" 24001 "SOSS" "SS" 10 "d" 1 293 "base"
